Open Time,Side,Price,Take Profit,Stop Loss,Size,Return,Outcome,Close Price,Close Time,Balance
2021-12-21 05:30:00,Short,48600.51,47430.992229946656,49380.1885133689,1246.6807579447852,-19.99990765424625,-,49380.1885133689,2021-12-22 02:30:00,979.9908577703786
2021-12-22 04:00:00,Short,49278.46,48183.6541276856,50008.330581542934,1323.3151604196416,29.399580722454242,+,48183.6541276856,2021-12-23 00:00:00,1009.3807711156918
2021-12-23 14:00:00,Short,48572.48,47589.91466902151,49227.523553985666,1496.9425168475022,-20.18750447485839,-,49227.523553985666,2021-12-23 17:00:00,989.1821718952888
2021-12-23 19:00:00,Short,50809.35,49774.59416912176,51499.18722058549,1457.14674957465,-19.783540194540166,-,51499.18722058549,2021-12-24 02:00:00,969.3883073641875
2021-12-24 02:30:00,Short,51044.02,49603.28373848574,52004.5108410095,1030.3372824848052,29.081540220472185,+,49603.28373848574,2021-12-26 04:00:00,998.4625808877637
2021-12-26 04:30:00,Long,49867.65,50879.41377137323,49193.14081908452,1476.3618918938485,29.953717556372006,+,50879.41377137323,2021-12-26 21:30:00,1028.405640426742
2021-12-27 10:00:00,Long,50781.55,51665.27334003473,50192.40110664352,1772.863635611136,30.851980690324464,+,51665.27334003473,2021-12-27 14:30:00,1059.24505295188
2021-12-29 04:30:00,Short,47780.0,46596.747831932524,48568.83477871165,1283.1769084192717,31.777206566469644,+,46596.747831932524,2021-12-29 13:00:00,1091.0125913792324
2021-12-30 08:30:00,Short,46795.75,45556.127841822075,47622.16477211862,1235.5721169443655,-21.820156774943737,-,47622.16477211862,2021-12-30 12:00:00,1069.1829293401972
2021-12-30 13:30:00,Short,47321.49,46118.28252286694,48123.628318088704,1261.5113418219144,-21.383562616858143,-,48123.628318088704,2021-12-31 08:30:00,1047.789769728759
2021-12-31 10:30:00,Short,48027.42,46450.916268575485,49078.42248761634,957.6121833278868,31.433585421998558,+,46450.916268575485,2021-12-31 19:00:00,1079.2161771598098
